Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,ESG_rank
A,28/02/2014,38.1199,36.355,19014.62,2.3387,49.4768,88.5057
A,31/03/2014,37.4436,20.19,18644.8762,2.2972,49.4768,88.5057
A,30/04/2014,36.2724,20.976,18018.0456,2.1469,47.8415,88.5057
A,30/05/2014,38.2189,17.087,18984.9651,2.2622,47.8415,87.6404
A,30/06/2014,38.6427,13.029,19142.5058,2.2872,47.8415,87.2093
A,31/07/2014,37.7345,17.235,18692.6036,2.2291,39.2908,87.2093
A,29/08/2014,38.4544,18.08,19049.1927,2.2717,39.2908,87.3563
A,30/09/2014,38.4224,14.787,19003.5551,2.2698,39.2908,86.9048
A,31/10/2014,37.2761,25.437,18436.5835,2.3557,31.3537,88.2353
A,28/11/2014,40.3031,21.424,14254.3339,2.547,31.3537,88.0952
A,31/12/2014,38.6057,24.333,13728.0748,2.4397,31.3537,88.2353
A,30/01/2015,35.7037,26.057,12684.9291,2.8314,31.3537,88.3721
A,27/02/2015,39.9008,23.935,14176.0883,3.1642,39.1038,89.5349
A,31/03/2015,39.3736,18.998,13952.9181,3.1224,39.1038,86.0465
A,30/04/2015,39.203,16.562,13892.4722,3.1396,39.7981,86.0465
A,29/05/2015,39.0325,15.146,13832.0264,3.126,39.7981,86.2069
A,30/06/2015,36.6507,17.132,12854.5374,2.9352,39.7981,86.3636
A,31/07/2015,38.9022,21.749,13644.2018,3.1478,40.3069,86.2069
A,31/08/2015,34.4942,28.873,12098.1921,2.7911,40.3069,86.2069
A,30/09/2015,32.7079,34.157,11377.0728,2.6466,40.3069,86.3636
A,30/10/2015,35.9758,23.48,12513.7859,2.8663,40.3069,84.8837
A,30/11/2015,39.844,21.923,13859.283,3.1745,39.6882,84.8837
A,31/12/2015,39.9434,23.469,13888.0653,3.1824,39.6882,84.4444
A,29/01/2016,35.9691,29.27,12340.4987,2.9167,39.6882,84.6154
A,29/02/2016,35.6825,29.808,12242.1681,2.8934,42.8113,84.7826
A,31/03/2016,38.0709,23.967,13061.6377,3.0871,42.8113,88.0435
A,29/04/2016,39.2063,17.582,13412.3517,3.0615,42.8113,88.2979
A,31/05/2016,43.9681,16.789,15041.369,3.4334,45.3541,89
A,30/06/2016,42.6142,26.047,14440.1425,3.3276,45.3541,88.6598
A,29/07/2016,46.2166,28.751,15660.8489,3.4479,45.3541,89.1089
A,31/08/2016,45.1311,19.06,15293.0094,3.3669,43.4192,89.6226
A,30/09/2016,45.3491,22.327,15275.2786,3.3832,43.4192,89.7196
A,31/10/2016,41.9592,23.763,14133.4442,3.2041,44.8422,85.1852
A,30/11/2016,42.3541,26.895,14266.442,3.2342,44.8422,85.0467
A,30/12/2016,44.0027,20.143,14658.8341,3.3601,44.8422,85.0467
A,31/01/2017,47.2962,21.743,15755.9944,3.5442,46.3256,87.037
A,28/02/2017,49.5465,17.763,16521.5667,3.7128,46.3256,85.0877
A,31/03/2017,51.1896,16.738,17040.0488,3.8359,46.3256,84.9558
A,28/04/2017,53.3003,12.86,17742.6647,3.9134,46.3256,83.3333
A,31/05/2017,58.4221,17.973,19447.6365,4.2895,46.6971,83.6538
A,30/06/2017,57.5528,19.046,19058.5237,4.2256,46.6971,83.9623
A,31/07/2017,58.0186,13.633,19212.7657,4.0542,45.1312,85.1852
A,31/08/2017,62.8025,20.745,20796.9593,4.3885,45.1312,86.4865
A,29/09/2017,62.2979,12.408,20661.3578,4.3533,45.1312,86.8421
A,31/10/2017,66.1504,11.699,21893.959,4.4091,41.5926,84.3478
A,30/11/2017,67.327,15.862,22295.28,4.4875,41.5926,85.3448
A,29/12/2017,65.2639,19.029,21632.5173,4.35,41.5926,85.3448
A,31/01/2018,71.5593,16.248,23719.2137,5.1108,47.3928,86.2069
A,28/02/2018,66.8426,28.665,22152.0322,4.7739,47.3928,86.2069
A,30/03/2018,65.1957,21.325,21573.6831,4.6563,47.3928,84.6154
A,30/04/2018,64.2082,28.034,21199.6103,4.4819,45.809,87.1795
A,31/05/2018,60.4772,36.025,19811.4356,4.2215,45.809,85.8333
A,29/06/2018,60.3991,20.751,19785.8395,4.216,45.809,85
A,31/07/2018,64.657,19.49,21129.6384,4.5192,39.3827,84.1667
A,31/08/2018,66.1256,19.99,21529.6952,4.6218,39.3827,84.5528
A,28/09/2018,69.0628,12.099,22486.0038,4.8271,39.3827,86.0656
A,31/10/2018,63.5675,27.514,20653.079,4.4262,39.3568,86.9919
A,30/11/2018,70.9848,36.852,23007.3,4.9427,39.3568,84.6154
A,31/12/2018,66.3508,39.326,21488.2398,4.62,39.3568,83.3333
A,31/01/2019,74.7995,31.411,24224.4388,4.7232,35.7029,80.9524
A,28/02/2019,78.1338,15.405,25231.3761,4.9338,35.7029,80.6452
A,29/03/2019,79.0583,20.521,25521.9256,4.9922,35.7029,85.4015
A,30/04/2019,77.3671,23.311,24924.9957,4.7853,35.0829,84
A,31/05/2019,66.0824,42.199,21187.3543,4.0873,35.0829,79.6178
A,28/06/2019,73.5924,15.044,23595.2236,4.5518,35.0829,79.1667
A,31/07/2019,68.5589,19.214,21933.0986,4.4714,37.8766,79.3103
A,30/08/2019,70.238,31.688,22006.2466,4.5809,37.8766,78.3333
A,30/09/2019,75.8532,21.986,23714.5082,4.9471,37.8766,78.453
A,31/10/2019,74.9821,21.478,23442.1766,4.8798,50.695,77.7778
A,29/11/2019,79.9512,13.809,24957.93,5.2032,50.695,78.2383
A,31/12/2019,84.6235,13.565,26461.7471,5.5073,50.695,78.534
A,31/01/2020,81.8957,18.021,25608.7427,5.2367,54.7442,75.3927
A,28/02/2020,76.4498,26.339,23891.7,4.8885,54.7442,75
A,31/03/2020,71.2245,82.165,22177.2303,4.5544,54.7442,75.3695
A,30/04/2020,76.2366,53.326,23737.8732,4.9247,56.1451,75.4902
A,29/05/2020,87.6533,35.357,27147.12,5.6622,56.1451,77.1028
A,30/06/2020,88.0665,28.576,27286.6585,5.6889,56.1451,73.8318
A,31/07/2020,95.9992,21.473,29744.5266,5.9472,50.3513,73.7327
A,31/08/2020,100.0751,19.337,31029.78,6.1998,50.3513,74.2081
A,30/09/2020,100.5934,22.854,31120.7746,6.2319,50.3513,74.2358
A,30/10/2020,101.9228,23.631,31475.3306,6.4002,50.3513,75
A,30/11/2020,116.7086,27.988,35771.4,7.3287,52.0624,70.9402
