Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,1999-12-31,0.791,53.644,16532.1468,3.3485,9.6649,8.3084,
AAPL,2000-01-31,0.798,80.839,16682.8958,3.379,6.7966,7.8105,
AAPL,2000-02-29,0.882,59.974,18480.3009,3.7332,6.7966,7.8105,
AAPL,2000-03-31,1.044,75.664,21896.2344,4.6817,6.7966,7.8105,
AAPL,2000-04-28,0.954,81.615,20001.8524,4.2766,7.1174,11.9794,
AAPL,2000-05-31,0.646,61.339,13670.4706,2.8956,7.1174,11.9794,
AAPL,2000-06-30,0.806,66.591,17047.4024,3.6399,7.1174,11.9794,
AAPL,2000-07-31,0.782,76.714,16538.8283,3.5313,7.1839,10.9589,
AAPL,2000-08-31,0.937,56.663,19802.8037,4.235,7.1839,10.9589,
AAPL,2000-09-29,0.396,230.733,8367.954,1.847,7.1839,10.9589,
AAPL,2000-10-31,0.301,229.84,6357.2077,1.4032,7.3046,9.0909,
AAPL,2000-11-30,0.254,63.093,5361.9899,1.1835,7.3046,9.0909,
AAPL,2000-12-29,0.229,69.384,4996.2446,1.1929,7.3046,9.0909,
AAPL,2001-01-31,0.333,70.825,7467.2726,1.7342,8.3782,-19.3644,
AAPL,2001-02-28,0.281,69.705,6315.0291,1.4635,8.3782,-19.3644,
AAPL,2001-03-30,0.339,67.132,7636.8598,1.7624,8.3782,-19.3644,
AAPL,2001-04-30,0.392,81.625,8833.3297,2.0355,8.4805,3.0049,
AAPL,2001-05-31,0.307,50.368,6963.0109,1.5931,8.4805,3.0049,
AAPL,2001-06-29,0.358,56.111,8114.7871,1.8193,8.4805,3.0049,
AAPL,2001-07-31,0.289,84.269,6585.4082,1.4703,8.2167,4.1356,
AAPL,2001-08-31,0.285,34.596,6507.5702,1.4515,8.2167,4.1356,
AAPL,2001-09-28,0.239,50.352,5441.1005,1.196,8.2167,4.1356,
AAPL,2001-10-31,0.27,55.619,6162.1849,1.3541,8.0867,4.5517,
AAPL,2001-11-30,0.328,52.186,7474.632,1.6424,8.0867,4.5517,
AAPL,2001-12-31,0.337,51.421,7702.7228,1.6764,7.9425,2.7636,
AAPL,2002-01-31,0.38,49.549,8712.7936,1.8923,7.9425,2.7636,
AAPL,2002-02-28,0.334,59.275,7668.409,1.6611,7.9425,2.7636,
AAPL,2002-03-29,0.364,55.09,8364.5733,1.7985,7.9425,2.7636,
AAPL,2002-04-30,0.373,35.873,8593.6457,1.8441,7.7479,2.6756,
AAPL,2002-05-31,0.358,51.849,8287.8146,1.7704,7.7479,2.6756,
AAPL,2002-06-28,0.273,63.181,6303.0075,1.3471,7.7479,2.6756,
AAPL,2002-07-31,0.235,67.991,5476.1317,1.1601,7.7718,2.2393,
AAPL,2002-08-30,0.227,45.294,5293.5669,1.1213,7.7718,2.2393,
AAPL,2002-09-30,0.223,30.476,5203.8455,1.0948,7.7167,-3.1185,
AAPL,2002-10-31,0.247,34.459,5768.4714,1.2134,7.7167,-3.1185,
AAPL,2002-11-29,0.238,46.243,5563.8647,1.1703,7.7167,-3.1185,
AAPL,2002-12-31,0.22,35.532,5146.413,1.0804,7.7745,-0.5435,
AAPL,2003-01-31,0.221,31.455,5173.2934,1.0826,7.7745,-0.5435,
AAPL,2003-02-28,0.231,34.724,5410.7821,1.1316,7.7745,-0.5435,
AAPL,2003-03-31,0.217,28.719,5097.665,1.0757,7.4897,0.9492,
AAPL,2003-04-30,0.219,38.173,5198.054,1.0818,7.4897,0.9492,
AAPL,2003-05-30,0.276,46.732,6562.7244,1.3655,7.4897,0.9492,
AAPL,2003-06-30,0.293,35.16,6968.5531,1.4352,7.4897,1.2298,
AAPL,2003-07-31,0.324,35.306,7736.2043,1.5873,7.4897,1.2298,
AAPL,2003-08-29,0.348,39.365,8196.145,1.7026,7.4897,1.2298,
AAPL,2003-09-30,0.319,39.737,7511.0183,1.5499,7.1987,2.5656,
AAPL,2003-10-31,0.352,45.27,8394.3717,1.7122,7.1987,2.5656,
AAPL,2003-11-28,0.322,34.819,7668.2531,1.5641,7.1987,2.5656,
AAPL,2003-12-31,0.329,31.573,7858.4966,1.5676,7.1987,3.1406,
AAPL,2004-01-30,0.347,32.458,8296.1013,1.6549,7.1987,3.1406,
AAPL,2004-02-27,0.368,28.882,8843.9462,1.7547,7.1987,3.1406,
AAPL,2004-03-31,0.416,42.126,10018.8531,1.9341,0,2.4096,
AAPL,2004-04-30,0.397,45.247,9551.9982,1.844,0,2.4096,
AAPL,2004-05-31,0.432,26.785,10663.9869,2.0071,0,2.4096,
AAPL,2004-06-30,0.501,34.217,12366.5764,2.2437,0,3.0288,
AAPL,2004-07-30,0.497,44.552,12290.5679,2.2299,0,3.0288,
AAPL,2004-08-31,0.531,38.124,13379.537,2.3781,0,3.0288,
